Date,Close,Sentiment
2020-07-01,485.640015,0
2020-07-02,476.890015,2
2020-07-06,493.809998,1
2020-07-07,493.160004,2
2020-07-08,502.779999,2
2020-07-09,507.760010,2
2020-07-10,548.729980,0
2020-07-13,525.500000,0
2020-07-14,524.880005,0
2020-07-15,523.260010,0
2020-07-16,527.390015,0
2020-07-17,492.989990,1
2020-07-20,502.410004,0
2020-07-21,490.100006,1
2020-07-22,489.820007,0
2020-07-23,477.579987,0
2020-07-24,480.450012,2
2020-07-27,495.649994,0
2020-07-28,488.510010,1
2020-07-29,484.480011,1
2020-07-30,485.799988,1
2020-07-31,488.880005,2
2020-08-03,498.619995,2
2020-08-04,509.640015,1
2020-08-05,502.109985,1
2020-08-06,509.079987,0
2020-08-07,494.730011,0
2020-08-10,483.380005,0
2020-08-11,466.929993,0
2020-08-12,475.470001,2
2020-08-13,481.329987,1
2020-08-14,482.679993,1
2020-08-17,482.350006,2
2020-08-18,491.869995,0
2020-08-19,484.529999,2
2020-08-20,497.899994,1
2020-08-21,492.309998,1
2020-08-24,488.809998,1
2020-08-25,490.579987,1
2020-08-26,547.530029,2
2020-08-27,526.270020,2
2020-08-28,523.890015,2
2020-08-31,529.559998,2
2020-09-01,556.549988,2
2020-09-02,552.840027,2
2020-09-03,525.750000,2
2020-09-04,516.049988,2
2020-09-08,507.019989,2
2020-09-09,500.190002,2
2020-09-10,480.670013,0
2020-09-11,482.029999,1
2020-09-14,476.260010,2
2020-09-15,495.989990,1
2020-09-16,483.859985,0
2020-09-17,470.200012,1
2020-09-18,469.959991,2
2020-09-21,487.350006,2
2020-09-22,491.170013,0
2020-09-23,470.609985,0
2020-09-24,473.079987,1
2020-09-25,482.880005,2
2020-09-28,490.649994,1
2020-09-29,493.480011,2
2020-09-30,500.029999,2
2020-10-01,527.510010,0
2020-10-02,503.059998,2
2020-10-05,520.650024,0
2020-10-06,505.869995,2
2020-10-07,534.659973,1
2020-10-08,531.789978,2
2020-10-09,539.440002,1
2020-10-12,539.809998,2
2020-10-13,554.090027,0
2020-10-14,541.450012,1
2020-10-15,541.940002,0
2020-10-16,530.789978,1
2020-10-19,530.719971,1
2020-10-20,525.419983,0
2020-10-21,489.049988,0
2020-10-22,485.230011,0
2020-10-23,488.279999,1
2020-10-26,488.239990,1
2020-10-27,488.929993,1
2020-10-28,486.239990,2
2020-10-29,504.209991,0
2020-10-30,475.739990,2
2020-11-02,484.119995,1
2020-11-03,487.220001,1
2020-11-04,496.950012,2
2020-11-05,513.760010,1
2020-11-06,514.729980,0
2020-11-09,470.500000,0
2020-11-10,480.239990,2
2020-11-11,490.760010,2
2020-11-12,486.769989,2
2020-11-13,482.839996,1
2020-11-16,479.100006,1
2020-11-17,480.630005,1
2020-11-18,481.790009,1
2020-11-19,484.670013,1
2020-11-20,488.239990,1
2020-11-23,476.619995,1
2020-11-24,482.880005,1
2020-11-25,485.000000,1
2020-11-27,491.359985,1
2020-11-30,490.700012,2
2020-12-01,504.579987,1
2020-12-02,503.380005,0
2020-12-03,497.519989,1
2020-12-04,498.309998,2
2020-12-07,515.780029,1
2020-12-08,512.659973,0
2020-12-09,493.600006,2
2020-12-10,501.089996,1
2020-12-11,503.220001,2
2020-12-14,522.419983,2
2020-12-15,519.780029,1
2020-12-16,524.830017,2
2020-12-17,532.900024,1
2020-12-18,534.450012,1
2020-12-21,528.909973,1
2020-12-22,527.330017,1
2020-12-23,514.479980,0
2020-12-24,513.969971,1
2020-12-28,519.119995,1
2020-12-29,530.869995,2
2020-12-30,524.590027,1
2020-12-31,540.729980,0
2021-01-04,522.859985,1
2021-01-05,520.799988,0
2021-01-06,500.489990,2
2021-01-07,508.890015,1
2021-01-08,510.399994,0
2021-01-11,499.100006,1
2021-01-12,494.250000,1
2021-01-13,507.790009,1
2021-01-14,500.859985,1
2021-01-15,497.980011,2
2021-01-19,501.769989,2
2021-01-20,586.340027,2
2021-01-21,579.840027,1
2021-01-22,565.169983,0
2021-01-25,556.780029,1
2021-01-26,561.929993,0
2021-01-27,523.280029,1
2021-01-28,538.599976,1
2021-01-29,532.390015,2
2021-02-01,539.039978,2
2021-02-02,548.159973,1
2021-02-03,539.450012,2
2021-02-04,552.159973,1
2021-02-05,550.789978,1
2021-02-08,547.919983,1
2021-02-09,559.070007,1
2021-02-10,563.590027,1
2021-02-11,557.590027,1
2021-02-12,556.520020,1
2021-02-16,557.280029,1
2021-02-17,551.340027,0
2021-02-18,548.219971,0
2021-02-19,540.219971,0
2021-02-22,533.780029,2
2021-02-23,546.150024,2
2021-02-24,553.409973,1
2021-02-25,546.700012,0
2021-02-26,538.849976,2
2021-03-01,550.640015,2
2021-03-02,547.820007,1
2021-03-03,520.700012,0
2021-03-04,511.290009,0
2021-03-05,516.390015,1
2021-03-08,493.329987,0
2021-03-09,506.440002,1
2021-03-10,504.540009,1
2021-03-11,523.059998,1
2021-03-12,518.020020,1
2021-03-15,520.250000,1
2021-03-16,524.030029,1
2021-03-17,524.440002,1
2021-03-18,504.790009,1
2021-03-19,512.179993,1
2021-03-22,523.109985,2
2021-03-23,535.090027,0
2021-03-24,520.809998,0
2021-03-25,502.859985,0
2021-03-26,508.049988,1
2021-03-29,513.950012,1
2021-03-30,513.390015,1
2021-03-31,521.659973,2
2021-04-01,539.419983,2
2021-04-05,540.669983,1
2021-04-06,544.530029,1
2021-04-07,546.989990,2
2021-04-08,554.580017,1
2021-04-09,555.309998,1
2021-04-12,552.780029,1
2021-04-13,553.729980,1
2021-04-14,540.020020,0
2021-04-15,549.219971,1
2021-04-16,546.539978,1
2021-04-19,554.440002,2
2021-04-20,549.570007,1
2021-04-21,508.899994,0
2021-04-22,508.779999,0
2021-04-23,505.549988,1
2021-04-26,510.299988,1
2021-04-27,505.549988,1
2021-04-28,506.519989,1
2021-04-29,509.000000,1
2021-04-30,513.469971,1
2021-05-03,509.109985,0
2021-05-04,503.179993,0
2021-05-05,496.079987,0
2021-05-06,499.549988,2
2021-05-07,503.839996,0
2021-05-10,486.690002,1
2021-05-11,495.079987,0
2021-05-12,484.980011,0
2021-05-13,486.660004,1
2021-05-14,493.369995,1
2021-05-17,488.940002,1
2021-05-18,486.279999,1
2021-05-19,487.700012,2
2021-05-20,501.670013,1
2021-05-21,497.890015,2
2021-05-24,502.899994,1
2021-05-25,501.339996,1
2021-05-26,502.359985,1
2021-05-27,503.859985,1
2021-05-28,502.809998,1
2021-06-01,499.079987,1
2021-06-02,499.239990,0
2021-06-03,489.429993,2
2021-06-04,494.739990,1
2021-06-07,494.660004,1
2021-06-08,492.390015,1
2021-06-09,485.809998,1
2021-06-10,487.269989,1
2021-06-11,488.769989,2
2021-06-14,499.890015,1
2021-06-15,491.899994,1
2021-06-16,492.410004,1
2021-06-17,498.339996,1
2021-06-18,500.769989,1
2021-06-21,497.000000,2
2021-06-22,508.820007,2
2021-06-23,512.739990,2
2021-06-24,518.059998,2
2021-06-25,527.070007,2
2021-06-28,533.030029,2
2021-06-29,533.500000,1
2021-06-30,528.210022,1
2021-07-01,533.539978,2
2021-07-02,533.979980,2
2021-07-06,541.640015,1
2021-07-07,535.960022,1
2021-07-08,530.760010,1
2021-07-09,535.979980,1
2021-07-12,537.309998,1
2021-07-13,540.679993,2
2021-07-14,547.950012,2
2021-07-15,542.950012,1
2021-07-16,530.309998,1
2021-07-19,532.280029,1
2021-07-20,531.049988,0
2021-07-21,513.630005,1
2021-07-22,511.769989,1
2021-07-23,515.409973,1
2021-07-26,516.489990,1
2021-07-27,518.909973,1
2021-07-28,519.299988,1
2021-07-29,514.250000,1
2021-07-30,517.570007,1
2021-08-02,515.150024,1
2021-08-03,510.820007,1
2021-08-04,517.349976,2
2021-08-05,524.890015,1
2021-08-06,520.549988,1
2021-08-09,519.969971,0
2021-08-10,515.840027,0
2021-08-11,512.400024,1
2021-08-12,510.720001,1
2021-08-13,515.919983,1
2021-08-16,517.919983,1
2021-08-17,518.909973,1
2021-08-18,521.869995,2
2021-08-19,543.710022,1
2021-08-20,546.880005,2
2021-08-23,553.330017,1
2021-08-24,553.409973,0
2021-08-25,547.580017,2
2021-08-26,550.119995,2
2021-08-27,558.919983,2
2021-08-30,566.179993,2
2021-08-31,569.190002,2
2021-09-01,582.070007,2
2021-09-02,588.549988,2
2021-09-03,590.530029,2
2021-09-07,606.710022,2
2021-09-08,606.049988,1
2021-09-09,597.539978,1
2021-09-10,598.719971,1
2021-09-13,589.289978,0
2021-09-14,577.760010,2
2021-09-15,582.869995,2
2021-09-16,586.500000,2
2021-09-17,589.349976,0
2021-09-20,575.429993,0
2021-09-21,573.140015,1
2021-09-22,590.650024,2
2021-09-23,593.260010,1
2021-09-24,592.390015,1
2021-09-27,592.640015,1
2021-09-28,583.849976,1
2021-09-29,599.059998,1
2021-09-30,610.340027,1
2021-10-01,613.150024,2
2021-10-04,603.349976,2
2021-10-05,634.809998,2
2021-10-06,639.099976,2
2021-10-07,631.849976,2
2021-10-08,632.659973,2
2021-10-11,627.039978,2
2021-10-12,624.940002,2
2021-10-13,629.760010,2
2021-10-14,633.799988,2
2021-10-15,628.289978,2
2021-10-18,637.969971,2
2021-10-19,639.000000,2
2021-10-20,625.140015,2
2021-10-21,653.159973,2
2021-10-22,664.780029,2
2021-10-25,671.659973,2
2021-10-26,668.520020,1
2021-10-27,662.919983,2
2021-10-28,674.049988,2
2021-10-29,690.309998,1
2021-11-01,681.169983,0
2021-11-02,677.719971,0
2021-11-03,688.289978,0
2021-11-04,668.400024,1
2021-11-05,645.719971,0
2021-11-08,651.450012,0
2021-11-09,655.989990,0
2021-11-10,646.909973,2
2021-11-11,657.580017,2
2021-11-12,682.609985,2
2021-11-15,679.330017,1
2021-11-16,687.400024,2
2021-11-17,691.690002,2
2021-11-18,682.020020,1
2021-11-19,678.799988,0
2021-11-22,659.200012,2
2021-11-23,654.059998,2
2021-11-24,658.289978,2
2021-11-26,665.640015,2
2021-11-29,663.840027,2
2021-11-30,641.900024,1
2021-12-01,617.770020,0
2021-12-02,616.469971,0
2021-12-03,602.130005,2
2021-12-06,612.690002,2
2021-12-07,625.580017,1
2021-12-08,628.080017,1
2021-12-09,611.000000,1
2021-12-10,611.659973,1
2021-12-13,604.559998,1
2021-12-14,597.989990,1
2021-12-15,605.039978,0
2021-12-16,591.059998,1
2021-12-17,586.729980,2
2021-12-20,593.739990,2
2021-12-21,604.919983,2
2021-12-22,614.239990,1
2021-12-23,614.090027,1
2021-12-27,613.119995,1
2021-12-28,610.710022,1
2021-12-29,610.539978,1
2021-12-30,612.090027,1
2021-12-31,602.440002,1
2022-01-03,597.369995,0
2022-01-04,591.150024,0
2022-01-05,567.520020,0
2022-01-06,553.289978,0
2022-01-07,541.059998,0
2022-01-10,539.849976,0
2022-01-11,540.840027,0
2022-01-12,537.219971,0
2022-01-13,519.200012,0
2022-01-14,525.690002,0
2022-01-18,510.799988,0
2022-01-19,515.859985,0
2022-01-20,508.250000,0
2022-01-21,397.500000,0
2022-01-24,387.149994,0
2022-01-25,366.420013,0
2022-01-26,359.700012,0
2022-01-27,386.700012,0
2022-01-28,384.359985,2
2022-01-31,427.140015,2
2022-02-01,457.130005,0
2022-02-02,429.480011,0
2022-02-03,405.600006,0
2022-02-04,410.170013,0
2022-02-07,402.100006,0
2022-02-08,403.529999,1
2022-02-09,412.890015,0
2022-02-10,406.269989,0
2022-02-11,391.309998,1
2022-02-14,396.570007,1
2022-02-15,407.459991,1
2022-02-16,398.079987,0
2022-02-17,386.670013,2
2022-02-18,391.290009,0
2022-02-22,377.380005,0
2022-02-23,367.459991,2
2022-02-24,390.029999,2
2022-02-25,390.799988,2
2022-02-28,394.519989,1
2022-03-01,386.239990,0
2022-03-02,380.029999,0
2022-03-03,368.070007,0
2022-03-04,361.730011,0
2022-03-07,350.260010,0
2022-03-08,341.760010,2
2022-03-09,358.790009,1
2022-03-10,356.769989,0
2022-03-11,340.320007,0
2022-03-14,331.010010,1
2022-03-15,343.750000,2
2022-03-16,357.529999,2
2022-03-17,371.399994,2
2022-03-18,380.600006,0
2022-03-21,374.589996,2
2022-03-22,382.920013,1
2022-03-23,374.489990,1
2022-03-24,375.709991,1
2022-03-25,373.850006,1
2022-03-28,378.510010,1
2022-03-29,391.820007,2
2022-03-30,381.470001,0
2022-03-31,374.589996,1
2022-04-01,373.470001,2
2022-04-04,391.500000,1
2022-04-05,380.149994,0
2022-04-06,368.350006,0
2022-04-07,362.149994,0
2022-04-08,355.880005,0
2022-04-11,348.000000,1
2022-04-12,344.100006,1
2022-04-13,350.429993,1
2022-04-14,341.130005,0
2022-04-18,337.859985,0
2022-04-19,348.609985,0
2022-04-20,226.190002,0
2022-04-21,218.220001,0
2022-04-22,215.520004,0
2022-04-25,209.910004,0
2022-04-26,198.399994,0
2022-04-27,188.539993,0
2022-04-28,199.520004,0
2022-04-29,190.360001,2
2022-05-02,199.460007,1
2022-05-03,199.869995,2
2022-05-04,204.009995,0
2022-05-05,188.320007,0
2022-05-06,180.970001,0
2022-05-09,173.100006,0
2022-05-10,177.660004,0
2022-05-11,166.369995,2
2022-05-12,174.309998,2
2022-05-13,187.639999,2
2022-05-16,186.509995,1
2022-05-17,190.559998,2
2022-05-18,177.190002,0
2022-05-19,183.479996,1
2022-05-20,186.350006,1
2022-05-23,187.440002,1
2022-05-24,180.339996,1
2022-05-25,187.830002,1
2022-05-26,191.399994,1
2022-05-27,195.190002,1
2022-05-31,197.440002,1
2022-06-01,192.910004,1
2022-06-02,205.089996,1
2022-06-03,198.979996,1
2022-06-06,197.139999,1
