Date,Close,Volume,Sentiment
2019-10-11,282.929993,8786100,2
2019-10-14,285.529999,5513200,2
2019-10-15,284.250000,7685600,1
2019-10-16,286.279999,16175900,2
2019-10-17,293.350006,38258900,0
2019-10-18,275.299988,23429900,1
2019-10-21,278.049988,12599200,0
2019-10-22,266.690002,11802400,1
2019-10-23,271.269989,7133500,1
2019-10-24,271.500000,4827400,1
2019-10-25,276.820007,4747800,2
2019-10-28,281.859985,6248400,1
2019-10-29,281.209991,4356200,1
2019-10-30,291.450012,9345600,2
2019-10-31,287.410004,5090000,1
2019-11-01,286.809998,5594300,1
2019-11-04,292.859985,5566200,2
2019-11-05,288.029999,4062400,1
2019-11-06,288.589996,3438300,1
2019-11-07,289.570007,5928500,1
2019-11-08,291.570007,4509000,1
2019-11-11,294.179993,3944300,1
2019-11-12,292.010010,5772800,0
2019-11-13,283.109985,9158900,1
2019-11-14,289.619995,6529000,2
2019-11-15,295.029999,6333800,2
2019-11-18,302.570007,8616600,1
2019-11-19,302.600006,5918000,1
2019-11-20,305.160004,5111800,2
2019-11-21,311.690002,7488400,1
2019-11-22,310.480011,5970100,1
2019-11-25,315.549988,7873900,1
2019-11-26,312.489990,5321000,1
2019-11-27,315.929993,4096900,1
2019-11-29,314.660004,2411700,1
2019-12-02,309.989990,6218800,1
2019-12-03,306.160004,4992800,0
2019-12-04,304.320007,3512100,0
2019-12-05,302.859985,4615500,0
2019-12-06,307.350006,4457800,1
2019-12-09,302.500000,5748400,0
2019-12-10,293.119995,10476100,1
2019-12-11,298.929993,5589800,1
2019-12-12,298.440002,4766600,1
2019-12-13,298.500000,3879700,1
2019-12-16,304.209991,4658900,2
2019-12-17,315.480011,10427100,2
2019-12-18,320.799988,11207400,2
2019-12-19,332.220001,9822300,2
2019-12-20,336.899994,9914900,1
2019-12-23,333.100006,5765300,1
2019-12-24,333.200012,2019300,1
2019-12-26,332.630005,3589900,1
2019-12-27,329.089996,5036100,1
2019-12-30,323.309998,4311500,1
2019-12-31,323.570007,3713300,1
2020-01-02,329.809998,4485800,1
2020-01-03,325.899994,3806900,1
2020-01-06,335.829987,5663100,2
2020-01-07,330.750000,4703200,1
2020-01-08,339.260010,7104500,2
2020-01-09,335.660004,4709300,0
2020-01-10,329.049988,4718300,0
2020-01-13,338.920013,6290000,2
2020-01-14,338.690002,7199400,1
2020-01-15,339.070007,5158000,1
2020-01-16,338.619995,5016000,1
2020-01-17,339.670013,6066500,1
2020-01-21,338.109985,14350300,0
2020-01-22,326.000000,21730000,2
2020-01-23,349.600006,18200300,2
2020-01-24,353.160004,17939700,0
2020-01-27,342.880005,7709500,1
2020-01-28,348.519989,6821600,1
2020-01-29,343.160004,7643500,1
2020-01-30,347.739990,5328100,1
2020-01-31,345.089996,5230000,2
2020-02-03,358.000000,6670600,2
2020-02-04,369.010010,7161500,1
2020-02-05,369.670013,6437000,1
2020-02-06,366.950012,3920400,1
2020-02-07,366.769989,4385200,1
2020-02-10,371.070007,5294100,1
2020-02-11,373.690002,4772900,2
2020-02-12,380.010010,4624800,1
2020-02-13,381.399994,4485400,1
2020-02-14,380.399994,3736300,2
2020-02-18,387.779999,5173900,1
2020-02-19,386.190002,4896400,1
2020-02-20,386.000000,4079400,1
2020-02-21,380.070007,3930100,0
2020-02-24,368.700012,6936400,0
2020-02-25,360.089996,6481200,2
2020-02-26,379.239990,8934100,0
2020-02-27,371.709991,10967700,1
2020-02-28,369.029999,11168600,2
2020-03-02,381.049988,6997900,0
2020-03-03,368.769989,8364600,2
2020-03-04,383.790009,5487300,0
2020-03-05,372.779999,8747000,1
2020-03-06,368.970001,8147200,0
2020-03-09,346.489990,7405500,2
2020-03-10,364.130005,7604400,0
2020-03-11,349.920013,6036000,0
2020-03-12,315.250000,12071600,2
2020-03-13,336.299988,9458200,0
2020-03-16,298.839996,10559900,2
2020-03-17,319.750000,10013900,1
2020-03-18,315.470001,12593600,2
2020-03-19,332.029999,10616000,1
2020-03-20,332.829987,10853800,2
2020-03-23,360.269989,13449400,2
2020-03-24,357.320007,11638700,1
2020-03-25,342.390015,8767200,2
2020-03-26,362.989990,7229600,1
2020-03-27,357.119995,7948800,2
2020-03-30,370.959991,8622000,2
2020-03-31,375.500000,9366500,0
2020-04-01,364.079987,6672500,2
2020-04-02,370.079987,4592500,1
2020-04-03,361.760010,4860800,2
2020-04-06,379.959991,8183900,1
2020-04-07,372.279999,7046400,1
2020-04-08,371.119995,6908900,1
2020-04-09,370.720001,7711300,2
2020-04-13,396.720001,11692900,2
2020-04-14,413.549988,11581000,2
2020-04-15,426.750000,13561200,2
2020-04-16,439.170013,16128700,0
2020-04-17,422.959991,12616300,2
2020-04-20,437.489990,12655800,1
2020-04-21,433.829987,23177600,0
2020-04-22,421.420013,21084800,1
2020-04-23,426.700012,13952300,1
2020-04-24,424.989990,8658900,1
2020-04-27,421.380005,6277500,0
2020-04-28,403.829987,10101200,2
2020-04-29,411.890015,9693100,2
2020-04-30,419.850006,7954000,1
2020-05-01,415.269989,8299900,2
2020-05-04,428.149994,7799100,1
2020-05-05,424.679993,6286300,2
2020-05-06,434.260010,6660700,1
2020-05-07,436.529999,5641900,1
2020-05-08,435.549988,5049300,1
2020-05-11,440.519989,5486000,2
2020-05-12,431.820007,4598200,0
2020-05-13,438.269989,7014600,2
2020-05-14,441.950012,9007500,1
2020-05-15,454.190002,7244000,2
2020-05-18,452.579987,7773500,1
2020-05-19,451.040009,4810500,1
2020-05-20,447.670013,5607300,0
2020-05-21,436.250000,9117300,0
2020-05-22,429.320007,5422300,0
2020-05-26,414.769989,7881100,1
2020-05-27,419.890015,10446300,1
2020-05-28,413.440002,5655100,2
2020-05-29,419.730011,5254900,2
2020-06-01,425.920013,3743700,2
2020-06-02,427.309998,3494800,1
2020-06-03,421.970001,4316000,0
2020-06-04,414.329987,5410500,1
2020-06-05,419.600006,5099600,1
2020-06-08,419.489990,5851500,2
2020-06-09,434.049988,6797000,2
2020-06-10,434.480011,4896900,0
2020-06-11,425.559998,7462900,0
2020-06-12,418.070007,6461100,2
2020-06-15,425.500000,4467900,2
2020-06-16,436.130005,5507900,2
2020-06-17,447.769989,6529600,1
2020-06-18,449.869995,4277600,1
2020-06-19,453.720001,5934500,2
2020-06-22,468.040009,6272100,1
2020-06-23,466.260010,5948400,0
2020-06-24,457.850006,4826200,0
2020-06-25,465.910004,4134500,2
2020-06-26,443.399994,6804700,0
2020-06-29,447.239990,4844000,1
2020-06-30,455.040009,4198500,2
2020-07-01,485.640015,9705900,0
2020-07-02,476.890015,6351500,2
2020-07-06,493.809998,7839000,1
2020-07-07,493.160004,5669900,2
2020-07-08,502.779999,5691700,2
2020-07-09,507.760010,5840500,2
2020-07-10,548.729980,21605600,0
2020-07-13,525.500000,18399000,0
2020-07-14,524.880005,15083300,0
2020-07-15,523.260010,10066700,0
2020-07-16,527.390015,24499000,0
2020-07-17,492.989990,24991400,1
2020-07-20,502.410004,11940300,0
2020-07-21,490.100006,9113700,1
2020-07-22,489.820007,6954100,0
2020-07-23,477.579987,7722000,0
2020-07-24,480.450012,7746200,2
2020-07-27,495.649994,7863100,0
2020-07-28,488.510010,5986700,1
2020-07-29,484.480011,6611800,1
2020-07-30,485.799988,6608600,1
2020-07-31,488.880005,5916300,2
